reference_file,compared_file,columns_added_vs_reference,columns_removed_vs_reference
"Anand Vihar, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_anand_vihar,_delhi_-_dpcc_2025_April_delhi_2025.xlsx::Sheet1","ITO, Delhi - CPCB/Raw Data/2025_raw_data_hourly_ito,_delhi_-_cpcb_1H.csv::sheet1",AT (°C); BP (mmHg); Benzene (µg/m³); CO (mg/m³); Eth-Benzene (µg/m³); MP-Xylene (µg/m³); NH3 (µg/m³); NO (µg/m³); NO2 (µg/m³); NOx (ppb); O Xylene (µg/m³); Ozone (µg/m³); PM10 (µg/m³); PM2.5 (µg/m³); RF (mm); RH (%); SO2 (µg/m³); SR (W/mt2); TOT-RF (mm); Timestamp; Toluene (µg/m³); VWS (m/s); WD (deg); WS (m/s); Xylene (µg/m³),00:00:00; 01:00:00; 02:00:00; 03:00:00; 04:00:00; 05:00:00; 06:00:00; 07:00:00; 08:00:00; 09:00:00; 10:00:00; 11:00:00; 12:00:00; 13:00:00; 14:00:00; 15:00:00; 16:00:00; 17:00:00; 18:00:00; 19:00:00; 20:00:00; 21:00:00; 22:00:00; 23:00:00; Date
"Anand Vihar, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_anand_vihar,_delhi_-_dpcc_2025_April_delhi_2025.xlsx::Sheet1","ITO, Delhi - CPCB/Raw Data/2026_raw_data_hourly_ito,_delhi_-_cpcb_1H.csv::sheet1",AT (°C); BP (mmHg); Benzene (µg/m³); CO (mg/m³); Eth-Benzene (µg/m³); MP-Xylene (µg/m³); NH3 (µg/m³); NO (µg/m³); NO2 (µg/m³); NOx (ppb); O Xylene (µg/m³); Ozone (µg/m³); PM10 (µg/m³); PM2.5 (µg/m³); RF (mm); RH (%); SO2 (µg/m³); SR (W/mt2); TOT-RF (mm); Timestamp; Toluene (µg/m³); VWS (m/s); WD (deg); WS (m/s); Xylene (µg/m³),00:00:00; 01:00:00; 02:00:00; 03:00:00; 04:00:00; 05:00:00; 06:00:00; 07:00:00; 08:00:00; 09:00:00; 10:00:00; 11:00:00; 12:00:00; 13:00:00; 14:00:00; 15:00:00; 16:00:00; 17:00:00; 18:00:00; 19:00:00; 20:00:00; 21:00:00; 22:00:00; 23:00:00; Date
"Anand Vihar, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_anand_vihar,_delhi_-_dpcc_2025_April_delhi_2025.xlsx::Sheet1","Jahangirpuri, Delhi - DPCC	/Raw Data/2024_raw_data_hourly_jahangirpuri,_delhi_-_dpcc_1H.csv::sheet1",AT (°C); BP (mmHg); Benzene (µg/m³); CO (mg/m³); Eth-Benzene (µg/m³); MP-Xylene (µg/m³); NH3 (µg/m³); NO (µg/m³); NO2 (µg/m³); NOx (ppb); O Xylene (µg/m³); Ozone (µg/m³); PM10 (µg/m³); PM2.5 (µg/m³); RF (mm); RH (%); SO2 (µg/m³); SR (W/mt2); TOT-RF (mm); Timestamp; Toluene (µg/m³); VWS (m/s); WD (deg); WS (m/s); Xylene (µg/m³),00:00:00; 01:00:00; 02:00:00; 03:00:00; 04:00:00; 05:00:00; 06:00:00; 07:00:00; 08:00:00; 09:00:00; 10:00:00; 11:00:00; 12:00:00; 13:00:00; 14:00:00; 15:00:00; 16:00:00; 17:00:00; 18:00:00; 19:00:00; 20:00:00; 21:00:00; 22:00:00; 23:00:00; Date
"Anand Vihar, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_anand_vihar,_delhi_-_dpcc_2025_April_delhi_2025.xlsx::Sheet1","Jahangirpuri, Delhi - DPCC	/Raw Data/2025_raw_data_hourly_jahangirpuri,_delhi_-_dpcc_1H.csv::sheet1",AT (°C); BP (mmHg); Benzene (µg/m³); CO (mg/m³); Eth-Benzene (µg/m³); MP-Xylene (µg/m³); NH3 (µg/m³); NO (µg/m³); NO2 (µg/m³); NOx (ppb); O Xylene (µg/m³); Ozone (µg/m³); PM10 (µg/m³); PM2.5 (µg/m³); RF (mm); RH (%); SO2 (µg/m³); SR (W/mt2); TOT-RF (mm); Timestamp; Toluene (µg/m³); VWS (m/s); WD (deg); WS (m/s); Xylene (µg/m³),00:00:00; 01:00:00; 02:00:00; 03:00:00; 04:00:00; 05:00:00; 06:00:00; 07:00:00; 08:00:00; 09:00:00; 10:00:00; 11:00:00; 12:00:00; 13:00:00; 14:00:00; 15:00:00; 16:00:00; 17:00:00; 18:00:00; 19:00:00; 20:00:00; 21:00:00; 22:00:00; 23:00:00; Date
"Anand Vihar, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_anand_vihar,_delhi_-_dpcc_2025_April_delhi_2025.xlsx::Sheet1","Jahangirpuri, Delhi - DPCC	/Raw Data/2026_raw_data_hourly_jahangirpuri,_delhi_-_dpcc_1H.csv::sheet1",AT (°C); BP (mmHg); Benzene (µg/m³); CO (mg/m³); Eth-Benzene (µg/m³); MP-Xylene (µg/m³); NH3 (µg/m³); NO (µg/m³); NO2 (µg/m³); NOx (ppb); O Xylene (µg/m³); Ozone (µg/m³); PM10 (µg/m³); PM2.5 (µg/m³); RF (mm); RH (%); SO2 (µg/m³); SR (W/mt2); TOT-RF (mm); Timestamp; Toluene (µg/m³); VWS (m/s); WD (deg); WS (m/s); Xylene (µg/m³),00:00:00; 01:00:00; 02:00:00; 03:00:00; 04:00:00; 05:00:00; 06:00:00; 07:00:00; 08:00:00; 09:00:00; 10:00:00; 11:00:00; 12:00:00; 13:00:00; 14:00:00; 15:00:00; 16:00:00; 17:00:00; 18:00:00; 19:00:00; 20:00:00; 21:00:00; 22:00:00; 23:00:00; Date
"Anand Vihar, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_anand_vihar,_delhi_-_dpcc_2025_April_delhi_2025.xlsx::Sheet1","Punjabi Bagh, Delhi - DPCC/Raw Data/2024_raw_data_hourly_punjabi_bagh,_delhi_-_dpcc_1H.csv::sheet1",AT (°C); BP (mmHg); Benzene (µg/m³); CO (mg/m³); Eth-Benzene (µg/m³); MP-Xylene (µg/m³); NH3 (µg/m³); NO (µg/m³); NO2 (µg/m³); NOx (ppb); O Xylene (µg/m³); Ozone (µg/m³); PM10 (µg/m³); PM2.5 (µg/m³); RF (mm); RH (%); SO2 (µg/m³); SR (W/mt2); TOT-RF (mm); Timestamp; Toluene (µg/m³); VWS (m/s); WD (deg); WS (m/s); Xylene (µg/m³),00:00:00; 01:00:00; 02:00:00; 03:00:00; 04:00:00; 05:00:00; 06:00:00; 07:00:00; 08:00:00; 09:00:00; 10:00:00; 11:00:00; 12:00:00; 13:00:00; 14:00:00; 15:00:00; 16:00:00; 17:00:00; 18:00:00; 19:00:00; 20:00:00; 21:00:00; 22:00:00; 23:00:00; Date
"Anand Vihar, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_anand_vihar,_delhi_-_dpcc_2025_April_delhi_2025.xlsx::Sheet1","Punjabi Bagh, Delhi - DPCC/Raw Data/2025_raw_data_hourly_punjabi_bagh,_delhi_-_dpcc_1H.csv::sheet1",AT (°C); BP (mmHg); Benzene (µg/m³); CO (mg/m³); Eth-Benzene (µg/m³); MP-Xylene (µg/m³); NH3 (µg/m³); NO (µg/m³); NO2 (µg/m³); NOx (ppb); O Xylene (µg/m³); Ozone (µg/m³); PM10 (µg/m³); PM2.5 (µg/m³); RF (mm); RH (%); SO2 (µg/m³); SR (W/mt2); TOT-RF (mm); Timestamp; Toluene (µg/m³); VWS (m/s); WD (deg); WS (m/s); Xylene (µg/m³),00:00:00; 01:00:00; 02:00:00; 03:00:00; 04:00:00; 05:00:00; 06:00:00; 07:00:00; 08:00:00; 09:00:00; 10:00:00; 11:00:00; 12:00:00; 13:00:00; 14:00:00; 15:00:00; 16:00:00; 17:00:00; 18:00:00; 19:00:00; 20:00:00; 21:00:00; 22:00:00; 23:00:00; Date
"Anand Vihar, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_anand_vihar,_delhi_-_dpcc_2025_April_delhi_2025.xlsx::Sheet1","Punjabi Bagh, Delhi - DPCC/Raw Data/2026_raw_data_hourly_punjabi_bagh,_delhi_-_dpcc_1H.csv::sheet1",AT (°C); BP (mmHg); Benzene (µg/m³); CO (mg/m³); Eth-Benzene (µg/m³); MP-Xylene (µg/m³); NH3 (µg/m³); NO (µg/m³); NO2 (µg/m³); NOx (ppb); O Xylene (µg/m³); Ozone (µg/m³); PM10 (µg/m³); PM2.5 (µg/m³); RF (mm); RH (%); SO2 (µg/m³); SR (W/mt2); TOT-RF (mm); Timestamp; Toluene (µg/m³); VWS (m/s); WD (deg); WS (m/s); Xylene (µg/m³),00:00:00; 01:00:00; 02:00:00; 03:00:00; 04:00:00; 05:00:00; 06:00:00; 07:00:00; 08:00:00; 09:00:00; 10:00:00; 11:00:00; 12:00:00; 13:00:00; 14:00:00; 15:00:00; 16:00:00; 17:00:00; 18:00:00; 19:00:00; 20:00:00; 21:00:00; 22:00:00; 23:00:00; Date
"Anand Vihar, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_anand_vihar,_delhi_-_dpcc_2025_April_delhi_2025.xlsx::Sheet1","R K Puram, Delhi - DPCC/Raw Data/2024_raw_data_hourly_r_k_puram,_delhi_-_dpcc_1H.csv::sheet1",AT (°C); BP (mmHg); Benzene (µg/m³); CO (mg/m³); Eth-Benzene (µg/m³); MP-Xylene (µg/m³); NH3 (µg/m³); NO (µg/m³); NO2 (µg/m³); NOx (ppb); O Xylene (µg/m³); Ozone (µg/m³); PM10 (µg/m³); PM2.5 (µg/m³); RF (mm); RH (%); SO2 (µg/m³); SR (W/mt2); TOT-RF (mm); Timestamp; Toluene (µg/m³); VWS (m/s); WD (deg); WS (m/s); Xylene (µg/m³),00:00:00; 01:00:00; 02:00:00; 03:00:00; 04:00:00; 05:00:00; 06:00:00; 07:00:00; 08:00:00; 09:00:00; 10:00:00; 11:00:00; 12:00:00; 13:00:00; 14:00:00; 15:00:00; 16:00:00; 17:00:00; 18:00:00; 19:00:00; 20:00:00; 21:00:00; 22:00:00; 23:00:00; Date
"Anand Vihar, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_anand_vihar,_delhi_-_dpcc_2025_April_delhi_2025.xlsx::Sheet1","R K Puram, Delhi - DPCC/Raw Data/2025_raw_data_hourly_r_k_puram,_delhi_-_dpcc_1H.csv::sheet1",AT (°C); BP (mmHg); Benzene (µg/m³); CO (mg/m³); Eth-Benzene (µg/m³); MP-Xylene (µg/m³); NH3 (µg/m³); NO (µg/m³); NO2 (µg/m³); NOx (ppb); O Xylene (µg/m³); Ozone (µg/m³); PM10 (µg/m³); PM2.5 (µg/m³); RF (mm); RH (%); SO2 (µg/m³); SR (W/mt2); TOT-RF (mm); Timestamp; Toluene (µg/m³); VWS (m/s); WD (deg); WS (m/s); Xylene (µg/m³),00:00:00; 01:00:00; 02:00:00; 03:00:00; 04:00:00; 05:00:00; 06:00:00; 07:00:00; 08:00:00; 09:00:00; 10:00:00; 11:00:00; 12:00:00; 13:00:00; 14:00:00; 15:00:00; 16:00:00; 17:00:00; 18:00:00; 19:00:00; 20:00:00; 21:00:00; 22:00:00; 23:00:00; Date
"Anand Vihar, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_anand_vihar,_delhi_-_dpcc_2025_April_delhi_2025.xlsx::Sheet1","R K Puram, Delhi - DPCC/Raw Data/2026_raw_data_hourly_r_k_puram,_delhi_-_dpcc_1H.csv::sheet1",AT (°C); BP (mmHg); Benzene (µg/m³); CO (mg/m³); Eth-Benzene (µg/m³); MP-Xylene (µg/m³); NH3 (µg/m³); NO (µg/m³); NO2 (µg/m³); NOx (ppb); O Xylene (µg/m³); Ozone (µg/m³); PM10 (µg/m³); PM2.5 (µg/m³); RF (mm); RH (%); SO2 (µg/m³); SR (W/mt2); TOT-RF (mm); Timestamp; Toluene (µg/m³); VWS (m/s); WD (deg); WS (m/s); Xylene (µg/m³),00:00:00; 01:00:00; 02:00:00; 03:00:00; 04:00:00; 05:00:00; 06:00:00; 07:00:00; 08:00:00; 09:00:00; 10:00:00; 11:00:00; 12:00:00; 13:00:00; 14:00:00; 15:00:00; 16:00:00; 17:00:00; 18:00:00; 19:00:00; 20:00:00; 21:00:00; 22:00:00; 23:00:00; Date
